labels,path,dataset,Gender,predicted_labels
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h09.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f12.wav,SAVEE,m,fear
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h03.wav,SAVEE,m,happy
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d04.wav,SAVEE,m,disgust
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a14.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f01.wav,SAVEE,m,fear
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h15.wav,SAVEE,m,happy
surprise,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su02.wav,SAVEE,m,surprise
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a06.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n01.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f01.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n22.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a10.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n08.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa13.wav,SAVEE,m,neutral
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a12.wav,SAVEE,m,neutral
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f07.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d05.wav,SAVEE,m,disgust
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d09.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n30.wav,SAVEE,m,neutral
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h05.wav,SAVEE,m,angry
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f11.wav,SAVEE,m,fear
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d08.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d04.wav,SAVEE,m,sad
happy,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h09.wav,SAVEE,m,happy
fear,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f06.wav,SAVEE,m,sad
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a15.wav,SAVEE,m,angry
angry,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a05.wav,SAVEE,m,angry
disgust,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d01.wav,SAVEE,m,disgust
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa06.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n20.wav,SAVEE,m,happy
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n17.wav,SAVEE,m,neutral
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n12.wav,SAVEE,m,neutral
sad,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa10.wav,SAVEE,m,angry
neutral,/kaggle/input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n01.wav,SAVEE,m,neutral
